index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
45,full,distract,RANDOMIZATION,20,-0.028616772091481828,0.19408538482765808,20
46,full,distract,RANDOMIZATION,21,0.009842528193257757,0.23979889526751358,20
47,full,distract,RANDOMIZATION,22,0.05099526257254185,0.2307287650274268,20
48,full,distract,RANDOMIZATION,23,0.07235177643597127,0.23652993559395163,20
49,full,distract,RANDOMIZATION,24,0.1099267310113646,0.2207137098333648,20
50,full,domain,NONE,0,0.05499279557335613,0.14064204483650278,11
51,full,domain,NONE,1,-0.05894877724349499,0.32883177013956993,20
52,full,domain,NONE,2,0.24403133494779466,0.20014837661385323,20
53,full,domain,NONE,3,0.10212199967354536,0.346554794833638,20
54,full,domain,NONE,4,0.3564476906321943,0.28142238335036296,20
55,full,domain,NONE,5,0.3118140123784542,0.3379868410914162,20
56,full,domain,NONE,6,0.21039760168641805,0.36357256825815754,20
57,full,domain,NONE,7,0.1650632823817432,0.3674781990257858,20
58,full,domain,NONE,8,0.22864121440798044,0.3289882048303332,20
59,full,domain,NONE,9,0.2387599957175553,0.27429219691351814,20
60,full,domain,NONE,10,0.29728292850777505,0.42639517485392664,20
61,full,domain,NONE,11,0.4437951812520623,0.2572257047475284,20
62,full,domain,NONE,12,0.2630144199356437,0.32500798273624454,20
63,full,domain,NONE,13,0.2753362701740116,0.2902290199073104,20
64,full,domain,NONE,14,0.2162019994109869,0.34615773046255266,20
65,full,domain,NONE,15,0.18827460277825595,0.2318948280736015,20
66,full,domain,NONE,16,0.22789587582228701,0.22830879051528247,20
67,full,domain,NONE,17,0.2244815063662827,0.29930188536812297,20
68,full,domain,NONE,18,0.2949153765104711,0.23580927077833605,20
69,full,domain,NONE,19,0.2569124327041209,0.21473183565960974,20
70,full,domain,NONE,20,0.2030724111944437,0.264030511079359,20
71,full,domain,NONE,21,0.10699150345753879,0.28633398493307666,20
72,full,domain,NONE,22,0.08702043602243065,0.32423764169958486,20
73,full,domain,NONE,23,0.11542404280044138,0.3160903422556727,20
74,full,domain,NONE,24,-0.05003120026085528,0.3773771642043768,20
75,full,domain,RANDOMIZATION,0,-0.010386751952035788,0.1567276735241879,11
76,full,domain,RANDOMIZATION,1,0.0975328454747796,0.29125765483493554,20
77,full,domain,RANDOMIZATION,2,-0.12978505650535224,0.28452142308504713,20
78,full,domain,RANDOMIZATION,3,-0.019613448952441114,0.28992705642938477,20
79,full,domain,RANDOMIZATION,4,-0.1084250486921519,0.33842061698247244,20
80,full,domain,RANDOMIZATION,5,-0.04829523228108883,0.25764982789107915,20
