index,reduction,perturbation_type,control_task,layer,metric_mean,metric_std,metric_count
152,full,rephrase,NONE,2,0.04435387124685799,0.04796309688386436,20
153,full,rephrase,NONE,3,0.04506268565601199,0.04848465692100825,20
154,full,rephrase,NONE,4,0.045198075097869085,0.047752292044870095,20
155,full,rephrase,NONE,5,0.04606080141675188,0.048207253041758616,20
156,full,rephrase,NONE,6,0.046991707052802624,0.048145673444492214,20
157,full,rephrase,NONE,7,0.04866279902780657,0.04817578241012548,20
158,full,rephrase,NONE,8,0.046700247301487204,0.047101044845272055,20
159,full,rephrase,NONE,9,0.04684463650337416,0.04718490665024282,20
160,full,rephrase,NONE,10,0.04711722381180149,0.04785544136823507,20
161,full,rephrase,NONE,11,0.046323690106510135,0.047457618280582606,20
162,full,rephrase,NONE,12,0.04583268697024318,0.04834105193580041,20
163,full,rephrase,NONE,13,0.04578376411809581,0.04745463974595129,20
164,full,rephrase,NONE,14,0.04959734685835425,0.048141280921540186,20
165,full,rephrase,NONE,15,0.05322020510211582,0.04927426767218886,20
166,full,rephrase,NONE,16,0.05643944507464762,0.055402154329325354,20
167,full,rephrase,NONE,17,0.05540733606321733,0.05393106566935298,20
168,full,rephrase,NONE,18,0.061478658032137846,0.05791662018747876,20
169,full,rephrase,NONE,19,0.06364176068454977,0.05292555477457014,20
170,full,rephrase,NONE,20,0.07694773115217682,0.06021504795518401,20
171,full,rephrase,NONE,21,0.09843276576139029,0.0815390518751289,20
172,full,rephrase,NONE,22,0.10274877492338415,0.07889302882797672,20
173,full,rephrase,NONE,23,0.12083296850323673,0.06703598582444437,20
174,full,rephrase,NONE,24,1.7243825227022171,0.796014407756769,20
175,full,rephrase,RANDOMIZATION,0,0.04389044593262946,0.048739928748589574,20
176,full,rephrase,RANDOMIZATION,1,0.043970647398964446,0.048686637356113636,20
177,full,rephrase,RANDOMIZATION,2,0.0446002559328917,0.048458010062529734,20
178,full,rephrase,RANDOMIZATION,3,0.044943623071594586,0.04820790267549006,20
179,full,rephrase,RANDOMIZATION,4,0.04513974577566837,0.04748975241642146,20
180,full,rephrase,RANDOMIZATION,5,0.046110214322106886,0.047915601944706974,20
181,full,rephrase,RANDOMIZATION,6,0.04623373856302346,0.04769918204980489,20
182,full,rephrase,RANDOMIZATION,7,0.0471175391467113,0.048639113373025254,20
183,full,rephrase,RANDOMIZATION,8,0.04668085977900769,0.04900633772482601,20
184,full,rephrase,RANDOMIZATION,9,0.04673080815118731,0.04764377851167972,20
185,full,rephrase,RANDOMIZATION,10,0.046035613233107085,0.04733236766221179,20
186,full,rephrase,RANDOMIZATION,11,0.045718427945394026,0.04642079924591302,20
187,full,rephrase,RANDOMIZATION,12,0.04685176847269754,0.04919985270894571,20
188,full,rephrase,RANDOMIZATION,13,0.04698824691586193,0.05007311638683387,20
189,full,rephrase,RANDOMIZATION,14,0.04948791731731031,0.048861735048077864,20
190,full,rephrase,RANDOMIZATION,15,0.0502223831310402,0.04722415756782989,20
191,full,rephrase,RANDOMIZATION,16,0.051617183542111846,0.04637731750117156,20
192,full,rephrase,RANDOMIZATION,17,0.051034045644337264,0.045248706811633135,20
193,full,rephrase,RANDOMIZATION,18,0.05830029827775429,0.052799382065818246,20
194,full,rephrase,RANDOMIZATION,19,0.0645501966006122,0.05710983161313748,20
195,full,rephrase,RANDOMIZATION,20,0.07525458100717511,0.0642771448861348,20
196,full,rephrase,RANDOMIZATION,21,0.0929933601059019,0.07878427734302314,20
197,full,rephrase,RANDOMIZATION,22,0.10909841582179065,0.0971500553898951,20
198,full,rephrase,RANDOMIZATION,23,0.11453847894445057,0.08752017126503019,20
199,full,rephrase,RANDOMIZATION,24,1.6230086266994477,0.7184510468979595,20
200,full,typos,NONE,0,0.005812839321313803,0.00833374382118145,20
201,full,typos,NONE,1,0.0057571506645671955,0.008464299261764315,20
202,full,typos,NONE,2,0.005862712680573141,0.008692019163383673,20
203,full,typos,NONE,3,0.005918517724967348,0.008489055970748784,20
204,full,typos,NONE,4,0.0061178841839136505,0.008395972571740235,20
205,full,typos,NONE,5,0.006091996929899275,0.008397715082539281,20
206,full,typos,NONE,6,0.00611110072495643,0.008205641832229703,20
207,full,typos,NONE,7,0.005757016023562715,0.0077157833421762235,20
208,full,typos,NONE,8,0.006504198892798681,0.008399596035155329,20
209,full,typos,NONE,9,0.0066871838345832196,0.008243576989498087,20
210,full,typos,NONE,10,0.00637376236118139,0.008198010514442237,20
211,full,typos,NONE,11,0.007061078879632936,0.008421996953270674,20
212,full,typos,NONE,12,0.007450695169973145,0.008471171765449646,20
213,full,typos,NONE,13,0.007719573174836075,0.008512189545797128,20
214,full,typos,NONE,14,0.008070761102135244,0.009306601215693823,20
215,full,typos,NONE,15,0.012970772362314125,0.011094298390267123,20
216,full,typos,NONE,16,0.014679409249219996,0.013545769226444168,20
217,full,typos,NONE,17,0.016563490056432727,0.01271365956965381,20
218,full,typos,NONE,18,0.019066842435859085,0.01704872154353597,20
219,full,typos,NONE,19,0.02238068273290987,0.015014994766267465,20
220,full,typos,NONE,20,0.03414304424077266,0.02299204123571852,20
221,full,typos,NONE,21,0.05239566890522833,0.0407970934676979,20
222,full,typos,NONE,22,0.06459961552172896,0.02884349075178284,20
223,full,typos,NONE,23,0.0943382734432816,0.04741455032796272,20
224,full,typos,NONE,24,1.951021395623684,0.8807129703519267,20
225,full,typos,RANDOMIZATION,0,0.0058346221171632065,0.008344475322178592,20
226,full,typos,RANDOMIZATION,1,0.005740365570659359,0.008546175802479801,20
227,full,typos,RANDOMIZATION,2,0.006022087494966367,0.008665689823376909,20
228,full,typos,RANDOMIZATION,3,0.006050500038872951,0.00860601806508996,20
229,full,typos,RANDOMIZATION,4,0.006258127653563819,0.008755176819664437,20
230,full,typos,RANDOMIZATION,5,0.006235104953520895,0.008668672949156417,20
231,full,typos,RANDOMIZATION,6,0.0065220922704610955,0.008711853650579849,20
232,full,typos,RANDOMIZATION,7,0.006236211296709327,0.008119432985959858,20
233,full,typos,RANDOMIZATION,8,0.0065741082231397146,0.00809308999095753,20
234,full,typos,RANDOMIZATION,9,0.0066981560652493,0.008325012579066654,20
235,full,typos,RANDOMIZATION,10,0.007131655530247326,0.009045035539173256,20
236,full,typos,RANDOMIZATION,11,0.00678559588413913,0.008366734786771647,20
237,full,typos,RANDOMIZATION,12,0.00691405317338645,0.008462945517399024,20
238,full,typos,RANDOMIZATION,13,0.00787539019947867,0.008263388717787945,20
239,full,typos,RANDOMIZATION,14,0.007378900039475356,0.008926479948328783,20
240,full,typos,RANDOMIZATION,15,0.01159123383695254,0.009987818149947642,20
241,full,typos,RANDOMIZATION,16,0.01153698547277594,0.010152374724057693,20
242,full,typos,RANDOMIZATION,17,0.01422180986264715,0.011939658553892996,20
243,full,typos,RANDOMIZATION,18,0.016428398736752524,0.014012235213768104,20
244,full,typos,RANDOMIZATION,19,0.02187563960906112,0.0141841296753479,20
245,full,typos,RANDOMIZATION,20,0.03260712279006833,0.02243264777304411,20
246,full,typos,RANDOMIZATION,21,0.05124140279367562,0.02899131617574501,20
247,full,typos,RANDOMIZATION,22,0.06125956196337934,0.027063005182971667,20
248,full,typos,RANDOMIZATION,23,0.09396184682846065,0.03972845343124677,20
249,full,typos,RANDOMIZATION,24,1.9432950779795646,0.8592350478880688,20
